row,cols,memory(bytes),time(sec)
3800,400, 87583872,0.187724
3800,600, 130185472,0.304747
3800,800, 172787072,0.418191
3800,1000, 215388672,0.532550
3900,200, 46163872,0.085316
3900,400, 89885472,0.187927
3900,600, 133607072,0.316824
3900,800, 177328672,0.432371
3900,1000, 221050272,0.542825
4000,200, 47345472,0.086554
4000,400, 92187072,0.192108
4000,600, 137028672,0.324827
4000,800, 181870272,0.444371
4000,1000, 226711872,0.556086
4100,200, 48527072,0.089444
4100,400, 94488672,0.200358
4100,600, 140450272,0.334593
4100,800, 186411872,0.456606
4100,1000, 232373472,0.569077
4200,200, 49708672,0.091619
4200,400, 96790272,0.204985
4200,600, 143871872,0.345999
4200,800, 190953472,0.468400
4200,1000, 238035072,0.584512
4300,200, 50890272,0.094456
4300,400, 99091872,0.213368
4300,600, 147293472,0.353390
4300,800, 195495072,0.478361
4300,1000, 243696672,0.600873
4400,200, 52071872,0.096828
4400,400, 101393472,0.225630
4400,600, 150715072,0.361447
4400,800, 200036672,0.495571
4400,1000, 249358272,0.616240
4500,200, 53253472,0.100139
4500,400, 103695072,0.222954
4500,600, 154136672,0.370937
4500,800, 204578272,0.505149
4500,1000, 255019872,0.628395
4600,200, 54435072,0.101483
4600,400, 105996672,0.232666
4600,600, 157558272,0.381643
4600,800, 209119872,0.515935
4600,1000, 260681472,0.641083
4700,200, 55616672,0.105248
4700,400, 108298272,0.239025
4700,600, 160979872,0.387876
4700,800, 213661472,0.526351
4700,1000, 266343072,0.658260
4800,200, 56798272,0.106949
4800,400, 110599872,0.243551
4800,600, 164401472,0.398673
4800,800, 218203072,0.537550
4800,1000, 272004672,0.679646
4900,200, 57979872,0.109196
4900,400, 112901472,0.247942
4900,600, 167823072,0.404617
4900,800, 222744672,0.557375
4900,1000, 277666272,0.695768
5000,200, 59161472,0.111827
5000,400, 115203072,0.256861
5000,600, 171244672,0.417961
5000,800, 227286272,0.561676
5000,1000, 283327872,0.700223
5000,200, 59161472,0.111542
5000,400, 115203072,0.254747
5000,600, 171244672,0.415666
5000,800, 227286272,0.563919
5000,1000, 283327872,0.700681
10000,200, 118241472,0.266931
10000,400, 230283072,0.552841
10000,600, 342324672,0.854174
10000,800, 454366272,1.142999
10000,1000, 566407872,1.430771
15000,200, 177321472,0.413532
15000,400, 345363072,0.830248
15000,600, 513404672,1.286067
15000,800, 681446272,1.721688
15000,1000, 849487872,2.157450
20000,200, 236401472,0.552603
20000,400, 460443072,1.115047
20000,600, 684484672,1.706994
20000,800, 908526272,2.291299
20000,1000, 1132567872,2.895737
25000,200, 295481472,0.686662
25000,400, 575523072,1.398912
25000,600, 855564672,2.137373
25000,800, 1135606272,2.892166
25000,1000, 1415647872,3.621953
30000,200, 354561472,0.828257
30000,400, 690603072,1.676046
30000,600, 1026644672,2.573392
30000,800, 1362686272,3.468098
30000,1000, 1698727872,4.342705
35000,200, 413641472,0.969796
35000,400, 805683072,1.955390
35000,600, 1197724672,3.010210
35000,800, 1589766272,4.042121
35000,1000, 1981807872,5.076588
40000,200, 472721472,1.108755
40000,400, 920763072,2.247138
40000,600, 1368804672,3.446807
40000,800, 1816846272,4.630834
40000,1000, 2264887872,5.825047
45000,200, 531801472,1.252534
45000,400, 1035843072,2.539530
45000,600, 1539884672,3.891398
45000,800, 2043926272,5.222819
45000,1000, 2547967872,6.584280
50000,200, 590881472,1.400839
50000,400, 1150923072,2.821619
50000,600, 1710964672,4.335797
50000,800, 2271006272,5.828154
50000,1000, 2831047872,7.335092
55000,200, 649961472,1.543284
55000,400, 1266003072,3.116809
55000,600, 1882044672,4.798988
55000,800, 2498086272,6.459750
55000,1000, 3114127872,8.149010
60000,200, 709041472,1.691717
60000,400, 1381083072,3.431035
60000,600, 2053124672,5.264711
60000,800, 2725166272,7.079431
60000,1000, 3397207872,8.936984
65000,200, 768121472,1.854495
65000,400, 1496163072,3.745680
65000,600, 2224204672,5.770805
65000,800, 2952246272,7.755274
65000,1000, 3680287872,9.844571
70000,200, 827201472,2.010105
70000,400, 1611243072,4.128657
70000,600, 2395284672,6.348520
70000,800, 3179326272,8.520876
70000,1000, 3963367872,10.785397
75000,200, 886281472,2.208297
75000,400, 1726323072,4.450035
75000,600, 2566364672,6.841717
75000,800, 3406406272,9.293498
75000,1000, 4246447872,11.696778
80000,200, 945361472,2.364232
80000,400, 1841403072,4.859524
80000,600, 2737444672,7.502207
80000,800, 3633486272,10.101780
80000,1000, 4529527872,12.870783
85000,200, 1004441472,2.542601
85000,400, 1956483072,5.302879
85000,600, 2908524672,8.147055
85000,800, 3860566272,11.052755
85000,1000, 4812607872,13.960840
90000,200, 1063521472,2.751992
90000,400, 2071563072,5.713220
90000,600, 3079604672,8.795869
90000,800, 4087646272,12.080708
90000,1000, 5095687872,15.321147
95000,200, 1122601472,2.968035
95000,400, 2186643072,6.252190
95000,600, 3250684672,9.737896
95000,800, 4314726272,13.151586
95000,1000, 5378767872,16.769922
100000,200, 1181681472,3.198360
100000,400, 2301723072,6.725027
100000,600, 3421764672,10.531321
100000,800, 4541806272,14.335313
100000,1000, 5661847872,18.525528
