row,cols,memory(bytes),time(sec)
3800,400, 38337672,3.878195
3800,600, 47283720,4.454464
3800,800, 65888648,9.043928
3800,1000, 70914696,6.471643
3900,200, 24913800,2.448005
3900,400, 41624712,4.598636
3900,600, 49686536,5.140708
3900,800, 62972936,6.992274
3900,1000, 75362440,8.520289
4000,200, 25660552,2.530717
4000,400, 38232072,3.560723
4000,600, 49292040,4.671255
4000,800, 66918792,8.574183
4000,1000, 74761224,7.187218
4100,200, 25290888,2.389612
4100,400, 41757448,4.452352
4100,600, 54404360,6.611101
4100,800, 69315464,9.399961
4100,1000, 84935304,13.206725
4200,200, 25893384,2.460660
4200,400, 41425544,4.259254
4200,600, 51984008,5.221182
4200,800, 64348808,6.304793
4200,1000, 83255304,11.349056
4300,200, 25122312,2.272421
4300,400, 40529160,4.096751
4300,600, 53232776,5.732776
4300,800, 66143368,6.709312
4300,1000, 81813640,9.226058
4400,200, 27267720,2.668981
4400,400, 46325000,5.501269
4400,600, 55892744,6.356547
4400,800, 71255816,8.922953
4400,1000, 83087752,9.182143
4500,200, 36036360,4.449010
4500,400, 42317704,4.217897
4500,600, 54400648,5.319281
4500,800, 69814024,7.412275
4500,1000, 85509640,10.022375
4600,200, 21711496,1.435713
4600,400, 42493832,4.115441
4600,600, 63941000,9.590087
4600,800, 70536072,7.169132
4600,1000, 85429000,8.885693
4700,200, 26108552,2.303132
4700,400, 43115272,4.194093
4700,600, 58993032,6.819014
4700,800, 84818184,15.552266
4700,1000, 87819528,9.680280
4800,200, 24948616,2.020927
4800,400, 42043272,3.768125
4800,600, 57488392,5.692929
4800,800, 73134216,7.448133
4800,1000, 87795336,8.571566
4900,200, 27714952,2.575371
4900,400, 50561160,6.812235
4900,600, 65354120,9.767079
4900,800, 76371336,9.540312
4900,1000, 91151752,10.853141
5000,200, 26718088,2.302085
5000,400, 43913352,4.172428
5000,600, 61873800,7.618783
5000,800, 80436360,11.390315
5000,1000, 92294152,9.945969
5000,200, 31603976,3.387615
5000,400, 50185352,6.160075
5000,600, 63422984,7.996037
5000,800, 80561800,10.978744
5000,1000, 89383944,7.576577
10000,200, 42661896,3.544339
10000,400, 74163720,6.070313
10000,600, 110005768,12.887771
10000,800, 145835272,21.690344
10000,1000, 170607240,15.734815
15000,200, 60073352,6.316563
15000,400, 107506184,10.589892
15000,600, 160840968,23.617098
15000,800, 206712072,27.880089
15000,1000, 255342856,35.205381
20000,200, 76180232,8.047413
20000,400, 144906632,22.642376
20000,600, 205052936,26.807967
20000,800, 271822472,45.034999
20000,1000, 332796680,42.089194
25000,200, 92694792,11.165474
25000,400, 173463560,26.739603
25000,600, 252156296,34.962942
25000,800, 336299400,69.139732
25000,1000, 410683272,49.137302
30000,200, 107459464,12.806966
30000,400, 204729992,32.566403
30000,600, 301078536,53.036485
30000,800, 402425864,115.246289
30000,1000, 494421640,106.522434
35000,200, 126093960,21.356439
35000,400, 238825096,50.035268
35000,600, 350816136,77.462371
35000,800, 467003144,142.792208
35000,1000, 576441480,149.842633
40000,200, 144640648,31.563923
40000,400, 268950024,45.047463
40000,600, 400039432,98.806679
40000,800, 526431112,109.714968
40000,1000, 652728712,114.248296
45000,200, 156796168,22.801411
45000,400, 302436744,60.342367
45000,600, 445380360,81.958007
45000,800, 591422344,138.572330
45000,1000, 735118600,168.922124
50000,200, 174232712,29.694735
50000,400, 334568712,65.423324
50000,600, 495494280,111.454931
50000,800, 655259528,149.942073
50000,1000, 814592008,171.979281
55000,200, 189612040,27.984341
55000,400, 369309832,92.277453
55000,600, 542591368,103.171510
55000,800, 719510664,155.130904
55000,1000, 894723976,181.283231
60000,200, 205844360,29.804662
60000,400, 399930248,84.650574
60000,600, 590597896,106.521379
60000,800, 783147144,156.867468
60000,1000, 976085256,222.233570
65000,200, 223400072,38.238463
65000,400, 432670600,96.158712
65000,600, 639877640,130.477797
65000,800, 848978824,203.235470
65000,1000, 1055113352,199.749154
70000,200, 238860936,35.292536
70000,400, 463930760,89.028819
70000,600, 688266760,139.348988
70000,800, 911511432,169.458284
70000,1000, 1137371528,272.933274
75000,200, 257206920,49.560816
75000,400, 496903176,101.306726
75000,600, 735608456,124.273799
75000,800, 977242760,216.559747
75000,1000, 1217077000,262.742810
80000,200, 272887304,49.568577
80000,400, 529574536,109.834845
80000,600, 784925832,153.362046
80000,800, 1040879240,200.429824
80000,1000, 1296412424,232.153335
85000,200, 289194888,51.912986
85000,400, 561041672,98.728038
85000,600, 834130312,176.992283
85000,800, 1106046088,237.264599
85000,1000, 1377842696,282.069845
90000,200, 306581256,57.785810
90000,400, 594114440,113.767509
90000,600, 882431624,177.202827
90000,800, 1170077704,223.280798
90000,1000, 1458652040,302.896549
95000,200, 322656776,55.503548
95000,400, 627438088,131.013645
95000,600, 930456968,169.672609
95000,800, 1235244552,256.868848
95000,1000, 1539166600,318.064851
100000,200, 340595080,70.137369
100000,400, 659708040,132.627004
100000,600, 979203592,182.756265
100000,800, 1299614856,260.867295
100000,1000, 1619511816,322.013011
