row,cols,memory(bytes),time(sec)
3800,400, 42015716,3.211383
3800,600, 66681316,10.067477
3800,800, 93906916,20.321173
3800,1000, 123692516,34.382150
3900,200, 20398916,0.561875
3900,400, 42984516,3.601281
3900,600, 68130116,10.377472
3900,800, 95835716,20.812660
3900,1000, 126101316,35.109940
4000,200, 20887716,0.553848
4000,400, 43953316,3.609518
4000,600, 69578916,10.613618
4000,800, 97764516,21.088086
4000,1000, 128510116,35.187594
4100,200, 21376516,0.605979
4100,400, 44922116,4.251588
4100,600, 71027716,11.361649
4100,800, 99693316,21.524875
4100,1000, 130918916,35.395538
4200,200, 21865316,0.593752
4200,400, 45890916,3.799933
4200,600, 72476516,11.082078
4200,800, 101622116,21.917972
4200,1000, 133327716,35.687361
4300,200, 22354116,0.589181
4300,400, 46859716,3.894610
4300,600, 73925316,11.432402
4300,800, 103550916,22.071159
4300,1000, 135736516,36.474733
4400,200, 22842916,0.612072
4400,400, 47828516,4.052400
4400,600, 75374116,11.561700
4400,800, 105479716,22.847353
4400,1000, 138145316,37.614360
4500,200, 23331716,0.616514
4500,400, 48797316,4.142046
4500,600, 76822916,11.858206
4500,800, 107408516,22.923637
4500,1000, 140554116,38.089811
4600,200, 23820516,0.629434
4600,400, 49766116,4.355103
4600,600, 78271716,12.080758
4600,800, 109337316,23.898427
4600,1000, 142962916,37.947205
4700,200, 24309316,0.661221
4700,400, 50734916,4.614011
4700,600, 79720516,12.477905
4700,800, 111266116,23.760396
4700,1000, 145371716,38.627104
4800,200, 24798116,0.656733
4800,400, 51703716,4.521942
4800,600, 81169316,12.561710
4800,800, 113194916,24.038686
4800,1000, 147780516,39.240097
4900,200, 25286916,0.667832
4900,400, 52672516,4.808032
4900,600, 82618116,16.363118
4900,800, 115123716,24.247077
4900,1000, 150189316,39.294540
5000,200, 25775716,0.681682
5000,400, 53641316,6.569331
5000,600, 84066916,12.999266
5000,800, 117052516,24.601769
5000,1000, 152598116,39.912819
5000,200, 25775716,0.677859
5000,400, 53641316,4.854860
5000,600, 84066916,12.808916
5000,800, 117052516,24.660316
5000,1000, 152598116,39.776347
10000,200, 50215716,1.594201
10000,400, 102081316,9.863673
10000,600, 156506916,23.143175
10000,800, 213492516,42.474603
10000,1000, 273038116,69.061467
15000,200, 74655716,2.560724
15000,400, 150521316,14.558748
15000,600, 228946916,33.731578
15000,800, 309932516,62.077596
15000,1000, 393478116,99.127509
20000,200, 99095716,3.552580
20000,400, 198961316,19.329038
20000,600, 301386916,44.868206
20000,800, 406372516,81.293968
20000,1000, 513918116,129.776666
25000,200, 123535716,4.563262
25000,400, 247401316,23.933595
25000,600, 373826916,55.100322
25000,800, 502812516,100.213013
25000,1000, 634358116,159.926967
